publisherID,iatiOrganisationID,name,gbSignatory,organisationType,iatiVersion,humData,humanitarianActivities,activities,202HumData,203HumData,traceability,monthly,frequency,timeliness
aab,BD-NAB-0210,ActionAid Bangladesh,ActionAid,International NGO,2.03,True,7,9,True,True,True,False,Less than Annual,More than one year
aadk,DK-CVR-18243717,ActionAid Denmark,ActionAid,International NGO,2.03,True,2,29,True,True,True,True,Monthly,One month
aag,GH-DSW-3064,ActionAid Ghana,ActionAid,National NGO,2.03,False,0,1,False,False,True,False,Less than Annual,More than one year
aai,NL-KVK-27264198,ActionAid International,ActionAid,International NGO,2.03,False,0,1,False,False,True,False,Less than Annual,More than one year
aaik,KE-NCB-OP/218/051/924/84,ActionAid International Kenya,ActionAid,International NGO,2.03,False,0,7,False,True,True,False,Less than Annual,More than one year
aar,RW-RGB-61-RGB-NGO-2017,ActionAid Rwanda,ActionAid,National NGO,2.03,False,0,3,False,False,True,False,Less than Annual,More than one year
aauk,GB-CHC-274467,ActionAid UK,ActionAid,International NGO,2.03,True,62,127,True,True,True,False,Quarterly,One month
aics,XM-DAC-6-4,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,Italy,Government,2.03,True,696,3452,True,False,False,True,Monthly,One month
,,Alliance for Empowering Partnership,Alliance for Empowering Partnership,Government,,False,0,0,False,False,False,False,,
ausgov,AU-5,Australia - Department of Foreign Affairs and Trade (DFAT),Australia,Government,2.03,True,1354,13927,True,False,False,False,Less than Annual,More than one year
